year,serial,month,cpsid,asecflag,asecwth,statefip,hhincome,pernum,cpsidp,cpsidv,asecwt,age,sex,race,marst,vetstat,famsize,nchild,nchlt5,ftype,yrimmig,citizen,nativity,hispan,empstat,occ2010,ind,classwkr,educ,diffany,wkswork1,uhrsworkly,pension,firmsize,ftotval,inctot,incwage,incbus,incss,incretir,incint,incdivid,incrent,ctccrd,actccrd,adjginc,eitcred,fedtaxac,fica,filestat,depstat,margtax,taxinc,spmwt,spmfedtaxac,spmftotval,spmfamunit,eff_rate
2024,7,3,20230100363800,1,1559.99,23,50838,1,20230100363801,202301003638011,1559.99,53,2,100,1,1,2,0,0,1,0,1,1,0,32,9999,0,0,73,2,0,999,0,0,50838,10801,0,0,10799,,2,0,0,0,0,46661,0,1896,0,1,0,10,18961,1559.99,1896.0,50838,7001,4.063350549709607
2024,14,3,20230100364100,1,1521.46,23,35987,1,20230100364101,202301003641011,1521.46,72,1,100,6,1,1,0,0,2,0,1,1,0,36,9999,0,0,73,2,0,999,0,0,35987,35987,0,0,16332,12000,7475,180,0,0,0,22941,0,581,0,5,0,10,7241,1521.46,581.0,35987,16001,2.5325835839762867
2024,15,3,20240100361500,1,1500.23,23,71435,1,20240100361501,202401003615011,1500.23,62,2,100,1,1,3,1,0,1,10,3,5,0,34,9999,0,0,73,1,0,999,0,0,71435,100,0,0,0,0,100,0,0,500,0,61830,0,3156,0,1,0,12,34130,1500.23,3156.0,71435,17001,5.104318292091218
2024,16,3,20230200358800,1,1351.18,23,54000,1,20230200358801,202302003588011,1351.18,58,1,100,1,1,2,0,0,1,0,1,1,0,36,9999,0,0,73,2,0,999,0,0,54000,54000,0,0,36000,0,0,0,0,0,0,20000,0,0,0,1,0,0,0,1351.18,0.0,54000,18001,0.0
2024,17,3,20230200359900,1,1351.18,23,100007,1,20230200359901,202302003599011,1351.18,57,1,100,1,2,3,1,0,1,0,1,1,0,10,4220,4972,21,73,1,52,45,3,9,100007,43006,43000,0,0,,6,0,0,0,0,68007,0,4397,3290,1,0,12,40307,1351.18,5012.0,100007,21001,6.465510903289368
2024,17,3,20230200359900,1,1351.18,23,100007,3,20230200359903,202302003599031,2413.89,23,1,100,6,1,3,0,0,1,0,1,1,0,10,9620,6170,21,73,1,52,35,1,5,100007,20000,20000,0,0,,0,0,0,0,0,20000,0,615,1530,5,0,10,6150,1351.18,5012.0,100007,21001,3.075
2024,21,3,20240100360600,1,1229.7,23,20674,1,20240100360601,202401003606011,1229.7,79,2,100,6,2,1,0,0,2,0,1,1,0,32,9999,0,0,73,2,0,999,0,0,20674,20674,0,0,18371,0,3,0,2300,0,0,2303,0,0,0,5,0,0,0,1229.7,0.0,20674,25001,0.0
2024,25,3,20230100359300,1,1639.36,23,107278,1,20230100359301,202301003593011,1639.36,58,1,100,4,1,2,0,0,1,0,1,1,0,10,6355,1870,21,91,1,52,40,1,8,107278,82006,80000,0,0,0,2006,0,0,0,0,82006,0,10302,6120,5,0,22,68156,1639.36,10459.0,107278,30001,12.562495427163867
2024,25,3,20230100359300,1,1639.36,23,107278,2,20230100359302,202301003593021,1251.98,80,2,100,5,1,2,1,0,1,0,1,1,0,36,9999,0,0,40,1,0,999,0,0,107278,25272,0,0,8004,0,0,0,0,0,0,17268,0,157,0,5,0,10,1568,1639.36,10459.0,107278,30001,0.9091962010655548
2024,26,3,20240100364700,1,1229.7,23,61980,2,20240100364702,202401003647021,1500.23,61,2,100,4,1,2,0,0,1,0,1,1,0,10,3510,7780,21,81,1,52,40,3,9,61980,48000,45000,0,0,0,3000,0,0,0,0,48000,0,3878,3443,5,0,12,34150,1229.7,3878.0,61980,31001,8.079166666666666
2024,28,3,20230100362800,1,1243.45,23,30580,1,20230100362801,202301003628011,1243.45,37,1,802,1,1,3,1,0,1,0,1,1,0,10,220,770,13,73,2,17,25,1,1,30580,25579,0,6000,17579,,2000,0,0,0,1275,12577,3596,-4871,848,1,0,0,0,1243.45,-4871.0,30580,34001,-38.729426731334975
2024,30,3,20240200365400,1,1107.88,23,26075,1,20240200365401,202402003654011,1107.88,85,2,100,5,1,1,0,0,2,0,1,1,0,36,9999,0,0,81,1,0,999,0,0,26075,26075,0,0,23723,0,12,0,0,0,0,2352,0,0,0,5,0,0,0,1107.88,0.0,26075,38001,0.0
2024,31,3,20240100363000,1,832.49,23,72008,1,20240100363001,202401003630011,832.49,41,2,100,3,1,3,2,0,1,0,1,1,0,10,2200,7870,21,123,1,52,40,1,7,72008,72008,72000,0,0,,8,0,0,4000,0,72008,0,1831,5508,4,0,12,51208,832.49,1831.0,72008,39001,2.5427730252194203
2024,33,3,20221202731700,1,1428.04,23,15005,1,20221202731701,202212027317011,1428.04,42,2,100,6,1,2,1,1,1,0,1,1,0,32,9999,0,0,111,2,0,999,0,0,15005,15005,0,0,0,,9005,0,0,0,0,9005,0,0,0,4,0,0,0,1428.04,0.0,15005,42001,0.0
