inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,age,nchild,nchlt5,famsize,filestat,marst,statefip,eff_rate,asecwt
10801,0.0,0.0,0.00018516803999629665,0.0,0.0,0.9998148319600038,0.0,53,0,0,2,1,1,23,4.063350549709607,1559.99
35987,0.0,0.0,0.207713896684914,0.0050018062077972604,0.333453747186484,0.45383054992080474,0.0,72,0,0,1,5,6,23,2.5325835839762867,1521.46
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,1,0,3,1,1,23,5.104318292091218,1500.23
54000,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,58,0,0,2,1,1,23,0.0,1351.18
43006,0.9998604845835465,0.0,0.00013951541645351812,0.0,0.0,0.0,0.0,57,1,0,3,1,1,23,6.465510903289368,1351.18
20000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,3,5,6,23,3.075,2413.89
20674,0.0,0.0,0.00014510979974847636,0.0,0.0,0.8886040437264197,0.11125084647383186,79,0,0,1,5,6,23,0.0,1229.7
82006,0.9755383752408361,0.0,0.024461624759163962,0.0,0.0,0.0,0.0,58,0,0,2,5,4,23,12.562495427163867,1639.36
25272,0.0,0.0,0.0,0.0,0.0,0.3167141500474834,0.0,80,1,0,2,5,5,23,0.9091962010655548,1251.98
48000,0.9375,0.0,0.0625,0.0,0.0,0.0,0.0,61,0,0,2,5,4,23,8.079166666666666,1500.23
25579,0.0,0.23456741858555846,0.07818913952851948,0.0,0.0,0.687243441885922,0.0,37,1,0,3,1,1,23,-38.729426731334975,1243.45
26075,0.0,0.0,0.00046021093000958775,0.0,0.0,0.9097986577181209,0.0,85,0,0,1,5,5,23,0.0,1107.88
72008,0.9998889012331963,0.0,0.00011109876680368848,0.0,0.0,0.0,0.0,41,2,0,3,4,3,23,2.5427730252194203,832.49
15005,0.0,0.0,0.6001332889036988,0.0,0.0,0.0,0.0,42,1,1,2,4,6,23,0.0,1428.04
42001,0.9999761910430705,0.0,2.3808956929596913e-05,0.0,0.0,0.0,0.0,57,0,0,1,5,4,23,7.518868598366706,1852.75
30001,0.9999666677777408,0.0,3.333222225925803e-05,0.0,0.0,0.0,0.0,54,1,0,2,4,4,23,-12.41958601379954,674.17
