income_bracket,num_returns,agi,total_income_tax,effective_tax_rate,year
"Under $5,000 (includes deficits)",146961.0,-12384174.0,259960.0,-0.020991307131182104,2021
"$5,000 under $10,000",184757.0,1358544.0,78223.0,0.057578554687960054,2021
"$10,000 under $15,000",1055682.0,14362205.0,211113.0,0.014699205310048143,2021
"$15,000 under $20,000",3224975.0,57643020.0,1247485.0,0.021641562152711638,2021
"$20,000 under $25,000",4511653.0,101727915.0,4047630.0,0.03978878363918104,2021
"$25,000 under $30,000",5152142.0,141934070.0,6837046.0,0.04817057666281253,2021
"$30,000 under $40,000",10942006.0,382385416.0,21563813.0,0.05639287508810221,2021
"$40,000 under $50,000",10179035.0,457336377.0,28872871.0,0.06313267969059894,2021
"$50,000 under $75,000",20080197.0,1238178360.0,93197007.0,0.07526945229441742,2021
"$75,000 under $100,000",13899732.0,1206614503.0,105626193.0,0.08753930334616573,2021
"$100,000 under $200,000",23680641.0,3252746502.0,365196521.0,0.11227328068002024,2021
"$200,000 or more",11515987.0,7038026630.0,1569210342.0,0.22296169430663265,2021
"Under $5,000 (includes deficits)",109318.0,-9402630.0,147152.0,-0.015650089389883468,2022
"$5,000 under $10,000",119109.0,878182.0,41423.0,0.04716903785320127,2022
"$10,000 under $15,000",1370355.0,19112665.0,188178.0,0.009845722718417342,2022
"$15,000 under $20,000",4429445.0,77383332.0,1736237.0,0.022436834330162986,2022
"$20,000 under $25,000",4393888.0,98787235.0,3804019.0,0.03850719174395356,2022
"$25,000 under $30,000",4801988.0,132247818.0,6376403.0,0.04821556299703939,2022
"$30,000 under $40,000",10791934.0,377838200.0,21322304.0,0.05643236708199435,2022
"$40,000 under $50,000",10680343.0,479522952.0,30309343.0,0.0632072831416837,2022
"$50,000 under $75,000",21378339.0,1321300231.0,100103598.0,0.075761432300847,2022
"$75,000 under $100,000",14549648.0,1262289876.0,113079420.0,0.08958276712028387,2022
"$100,000 under $200,000",25547389.0,3524738541.0,397758377.0,0.11284762610708492,2022
"$200,000 or more",12468373.0,6729313224.0,1465055618.0,0.21771250189022262,2022
"Under $5,000 (includes deficits)",122437.0,-6499823.0,129351.0,-0.01990069575740755,2023
"$5,000 under $10,000",141213.0,1028949.0,42411.0,0.04121778630427747,2023
"$10,000 under $15,000",641689.0,9086630.0,88533.0,0.009743216131833253,2023
"$15,000 under $20,000",4028011.0,70833555.0,1317468.0,0.0185994900298312,2023
"$20,000 under $25,000",4176659.0,93935906.0,3257177.0,0.034674461967716584,2023
"$25,000 under $30,000",4418022.0,121706340.0,5552159.0,0.0456193079177305,2023
"$30,000 under $40,000",10192082.0,357555176.0,19428590.0,0.05433731995534026,2023
"$40,000 under $50,000",10574219.0,475698679.0,29591551.0,0.06220650236449364,2023
"$50,000 under $75,000",21494289.0,1328067520.0,96759453.0,0.07285732957312291,2023
"$75,000 under $100,000",15065384.0,1306200302.0,114197559.0,0.08742729489891053,2023
"$100,000 under $200,000",27211633.0,3769472892.0,409532689.0,0.10864455077237892,2023
"$200,000 or more",13506728.0,6875280567.0,1468012878.0,0.21352043217642264,2023
No adjusted gross income,4098522.0,12327.0,33270.0,2.6989535166707226,2021
"$1 under $5,000",8487025.0,35316.0,1427.0,0.04040661456563597,2021
"$5,000 under $10,000",8944908.0,42757.0,7155.0,0.16734102018382954,2021
"$10,000 under $15,000",10056377.0,2219399.0,255766.0,0.11524110806574213,2021
"$15,000 under $20,000",9786580.0,5039256.0,1843123.0,0.36575300004603856,2021
"$20,000 under $25,000",8863570.0,4586797.0,2068853.0,0.45104525009500096,2021
"$25,000 under $30,000",8787576.0,4884194.0,3326967.0,0.6811701173213022,2021
"$30,000 under $40,000",16123068.0,7870845.0,9388124.0,1.1927720594167461,2021
"$40,000 under $50,000",12782334.0,5503687.0,9177255.0,1.6674740042447909,2021
"$50,000 under $75,000",22653934.0,10064753.0,21718182.0,2.157845503014331,2021
"$75,000 under $100,000",14657726.0,6662661.0,18181872.0,2.7289204718655204,2021
"$100,000 under $200,000",24044481.0,13063628.0,39503052.0,3.023895965194355,2021
No adjusted gross income,3254225.0,18812.0,21304.0,1.132468637040187,2022
"$1 under $5,000",8195781.0,44324.0,7358.0,0.16600487320638932,2022
"$5,000 under $10,000",8747727.0,60859.0,11621.0,0.190949571961419,2022
"$10,000 under $15,000",9642321.0,1390931.0,142735.0,0.10261831823433369,2022
"$15,000 under $20,000",9058382.0,2483398.0,686880.0,0.27658877070852117,2022
"$20,000 under $25,000",8035277.0,3413490.0,1356132.0,0.39728606206551065,2022
"$25,000 under $30,000",8005289.0,3990505.0,2442544.0,0.61208894613589,2022
"$30,000 under $40,000",15771561.0,7405163.0,8380725.0,1.1317407867996965,2022
"$40,000 under $50,000",13255063.0,5313862.0,8996669.0,1.693056575424804,2022
"$50,000 under $75,000",23805797.0,9713627.0,20435563.0,2.1038035535027237,2022
"$75,000 under $100,000",15181035.0,6534126.0,17128504.0,2.621391751551776,2022
"$100,000 under $200,000",25887136.0,13578839.0,40455079.0,2.9792737803283478,2022
No adjusted gross income,2180146.0,20585.0,20164.0,0.979548214719456,2023
"$1 under $5,000",7357751.0,55961.0,10731.0,0.19175854613034077,2023
"$5,000 under $10,000",8077917.0,77285.0,13067.0,0.16907549977356537,2023
"$10,000 under $15,000",8986005.0,765037.0,68929.0,0.09009891024878536,2023
"$15,000 under $20,000",8702094.0,2390278.0,565730.0,0.2366795828769708,2023
"$20,000 under $25,000",7925999.0,3098358.0,1133333.0,0.3657850383977578,2023
"$25,000 under $30,000",7594157.0,3606029.0,2057806.0,0.5706570856751291,2023
"$30,000 under $40,000",15210266.0,7609121.0,7550836.0,0.9923401139238027,2023
"$40,000 under $50,000",13519034.0,5403353.0,9093190.0,1.6828791307915658,2023
"$50,000 under $75,000",24135884.0,9890777.0,20255104.0,2.0478779371934075,2023
"$75,000 under $100,000",15775468.0,6713621.0,17487047.0,2.60471167496646,2023
"$100,000 under $200,000",27602755.0,14416050.0,43512480.0,3.018335813208195,2023
