Income band,CPS sample rows,CPS weighted filer population,CPS model rate (%),CPS observed rate (%),IRS all returns,IRS AGI ($ thousands),IRS net tax ($ thousands),IRS-published rate (%)
No adjusted gross income,1,1909.18,-2.470525300833972,-0.0666666666666666,2180146.0,-144194936.0,-809044.0,0.5610765692908938
"$1 under $5,000",759,1870557.19,-8.319795184151314,-8.333424571500805,7357751.0,17450063.0,-1198498.0,-6.868158584871585
"$5,000 under $10,000",1079,2609189.8200000003,-7.154873207364343,-7.229994584921171,8077917.0,60949546.0,-4664743.0,-7.653449953507447
"$10,000 under $15,000",1357,3385005.85,-5.436642040552051,-5.354777919138703,8986005.0,112353814.0,-13034963.0,-11.601709399914096
"$15,000 under $20,000",1694,4236717.93,-3.518547695119564,-3.3686138160045465,8702094.0,151828408.0,-17923962.0,-11.805407325353764
"$20,000 under $25,000",2541,6209936.460000001,-2.565176648304123,-2.631025914414447,7925999.0,178000708.0,-13512768.0,-7.591412501572747
"$25,000 under $30,000",2801,6996342.6899999995,-1.6799304637486439,-1.6789825418154323,7594157.0,208919443.0,-7714263.0,-3.692458150005694
"$30,000 under $40,000",6144,15191845.52,0.46342235816059024,0.4373641938114317,15210266.0,531782365.0,-199419.0,-0.037500115296226495
"$40,000 under $50,000",5578,13919063.009999998,2.847988384069601,2.913486432827784,13519034.0,606242938.0,20062114.0,3.3092532287774046
"$50,000 under $75,000",11300,27723014.34,5.523269435667437,5.523396760634215,24135884.0,1485510450.0,91023023.0,6.127390285271975
"$75,000 under $100,000",7080,17137098.83,7.8645592898312895,7.868835860476052,15775468.0,1366616429.0,113114029.0,8.276940522569994
"$100,000 under $200,000",13805,32024873.480000004,10.439086415526178,10.445495615749623,27602755.0,3818295141.0,408930553.0,10.709768048284038
"$200,000 under $500,000",6215,14522369.21,15.568802021183231,15.562254100418405,10955818.0,3153877437.0,513372854.0,16.277514401077216
"$500,000 under $1,000,000",668,1544541.0699999998,21.945609489831213,22.072781710512707,1779720.0,1194934962.0,273875719.0,22.9197176172338
"$1,000,000 under $1,500,000",187,482859.88,28.5700809884601,28.71832921129678,368931.0,443658405.0,115740460.0,26.087741986991094
"$1,500,000 under $2,000,000",14,33235.39,26.775471635530018,25.09085410279077,147290.0,252903399.0,69021574.0,27.29167511109647
"$2,000,000 under $5,000,000",8,23543.52,30.150201341520557,31.87072862213739,203229.0,602653109.0,168460991.0,27.95322690353863
"$5,000,000 under $10,000,000",0,0.0,,,49262.0,336334760.0,94042472.0,27.960973168518176
"$10,000,000 or more",0,0.0,,,30382.0,907900917.0,233461769.0,25.714454587339073
