unit_inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,spouse_income_share,age,nchild,nchlt5,famsize,filing_status,marst,statefip
36100.0,0.8310249307479224,0.0,0.002770083102493,0.0,0.0,0.0,0.0,0.0,50,1,0,4,5,3,28
36253.0,0.0,0.0,0.1385540506992524,0.0002758392408904,0.0190880754696163,0.561057015971092,0.1655035445342454,0.0,80,0,0,1,5,5,12
89107.0,0.7294600873107612,0.0,0.0,0.0,0.0,0.0,0.0,0.2705399126892387,36,2,0,5,1,1,24
246199.0,0.3655579429648374,0.0,0.0008123509843663,0.0,0.0,0.0,0.0,0.6336297060507963,38,2,1,4,1,1,6
153982.0,0.9834915769375642,6.494265563507423e-06,0.0164954345313088,0.0,0.0,0.0,6.494265563507423e-06,0.0,50,1,0,2,4,4,23
37000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,5,5,6,40
107979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,1,0,5,1,1,48
160507.0,0.9968412592597208,0.0,0.0031525104824088,6.2302578703732545e-06,0.0,0.0,0.0,0.0,49,0,0,1,5,2,6
80100.0,0.9987515605493134,0.0,0.0012484394506866,0.0,0.0,0.0,0.0,0.0,32,0,0,1,5,6,53
60000.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,50,2,0,6,1,1,44
94016.0,0.0,0.0,0.0041801395507147,0.0,0.0,0.3190946221919673,0.0,0.5022868447923757,80,0,0,2,1,1,55
81628.0,0.0,0.0,0.0310310187680697,0.0066276277747831,0.0,0.0,0.0,0.9623413534571472,65,0,0,2,1,1,36
26000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,2,5,4,12
56001.0,0.9999821431760147,0.0,1.7856823985285978e-05,0.0,0.0,0.0,0.0,0.0,39,2,0,4,5,6,48
118002.0,0.7627158861714208,0.0,0.0,0.0,0.0,0.0,0.0,0.2372841138285791,47,1,0,3,1,1,15
60000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3,1,4,4,6,18
209175.0,0.0,0.2868411617067049,2.3903430142225408e-05,0.0,0.0,0.0,0.0,0.7131349348631528,70,2,1,6,1,1,15
6000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,3,5,6,48
64289.0,0.9799499136710792,0.0,0.0200500863289209,0.0,0.0,0.0,0.0,0.0,24,0,0,1,5,6,17
222500.0,0.4539325842696629,0.0,0.2269662921348314,0.0,0.0,0.197752808988764,0.0,0.0,76,0,0,1,5,4,24
20100.0,0.9950248756218906,0.0,0.0049751243781094,0.0,0.0,0.0,0.0,0.0,26,0,0,4,5,6,20
9950.0,0.0,0.0,0.9899497487437184,0.0100502512562814,0.0,0.0,0.0,0.0,58,0,0,3,5,6,6
35000.0,0.8285714285714286,0.0,0.1714285714285714,0.0,0.0,0.0,0.0,0.0,32,2,0,4,4,6,48
70002.0,0.5428416330961973,0.0,0.0,0.0,0.0,0.0,0.0,0.4571583669038027,53,0,0,3,1,1,48
3962.0,0.4543160020191822,0.0,0.000504795557799,0.0,0.0,0.0,0.0,0.0,58,0,0,1,5,6,36
81060.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,1,0,2,4,4,6
30000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,3,2,5,1,1,13
180000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,4,5,6,34
25240.0,0.7527733755942948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,2,0,7,1,1,48
94150.0,0.9984067976633032,0.0,0.0015932023366967,0.0,0.0,0.0,0.0,0.0,48,0,0,1,5,6,21
28685.0,0.0,0.0,0.0348614258323165,0.0,0.0,0.8257974551159143,0.0,0.1393411190517692,70,0,0,2,1,1,9
5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,5,5,6,6
42011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39,2,1,4,1,1,6
41500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,0,3,5,2,6
70510.0,0.992766983406609,0.0,0.007233016593391,0.0,0.0,0.0,0.0,0.0,29,0,0,3,5,6,6
7000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,4,0,6,4,6,37
51203.0,0.0,0.0,0.0507782747104661,0.0,0.0,0.5507489795519793,0.0,0.3984727457375544,78,0,0,2,1,1,48
