,mean_abs_shap_pts,mean_signed_shap_pts,impurity_importance,shap_rank,impurity_rank
unit_inctot,5.899546450015,0.30468535049321144,0.5166325394901136,1,1
filing_status,3.371798398494282,-0.1767996103606988,0.21829935011212942,2,2
nchild,1.0394184965964721,0.15608160723447717,0.07155929841678754,3,3
wage_share,0.6191292905454184,-0.12814415132982887,0.025162025826388552,4,6
age,0.496061006889215,-0.007518758014145272,0.03851239926208537,5,4
famsize,0.4816391655840368,-0.037376257391567455,0.02420506539601134,6,7
interest_share,0.4550952210278603,-0.014664143754478172,0.03079688491425309,7,5
marst,0.4431333585253165,0.008962201318485602,0.02149384459564917,8,8
socsec_share,0.3238608528748561,0.09424796348788501,0.010751778798983095,9,9
dividend_share,0.1394978025068212,-0.016921882656828435,0.009723859037671664,10,11
nchlt5,0.1371861408311498,0.027678249830526507,0.008114489169247108,11,13
business_share,0.10251882016899883,0.00842460972344238,0.00454213293092963,12,14
spouse_income_share,0.0742124285186508,0.020573113208008843,0.008603864037923778,13,12
statefip,0.0437262235815662,0.01614366790130597,0.010608732310982062,14,10
retirement_share,0.006187076379960997,-0.003615735138267336,0.00026307140391474077,15,16
rent_share,0.005900574767343501,-0.0020250162668637643,0.0007306642969298743,16,15
