row,base_rate,twin_rate,gap,from_label,to_label,unit_inctot,filing_status,marst,nchild,spouse_income_share
0,3.070629700848265,1.1400741645039456,-1.9305555363443194,mostly from a paycheck,mostly from investments,20102.0,5,6,0,0.0
1,7.791093610260894,4.714547358096471,-3.076546252164423,mostly from a paycheck,mostly from investments,50000.0,5,5,0,0.0
2,13.40302473580406,9.273958073219063,-4.1290666625849965,mostly from a paycheck,mostly from investments,210150.0,1,1,1,0.2862241256245539
3,9.780777616967816,6.863559466181399,-2.917218150786417,mostly from a paycheck,mostly from investments,139355.0,1,1,1,0.354160238240465
4,6.163167253573251,4.212516919832771,-1.9506503337404801,mostly from a paycheck,mostly from investments,36100.0,5,3,1,0.0
5,1.9065858090958006,4.67784091219513,2.771255103099329,mostly from social security,mostly from a paycheck,36253.0,5,5,0,0.0
7,5.756759515466491,4.48160400445491,-1.2751555110115804,mostly from a paycheck,mostly from investments,33000.0,5,4,0,0.0
10,1.923456663867194,-1.0694919739266762,-2.9929486377938703,mostly from a paycheck,mostly from investments,89107.0,1,1,2,0.2705399126892387
11,5.840667222478284,2.464616725228956,-3.3760504972493277,mostly from a paycheck,mostly from investments,33400.0,5,6,0,0.0
13,13.33344972511204,9.592781111637397,-3.740668613474643,mostly from a paycheck,mostly from investments,153982.0,4,4,1,0.0
14,12.87026898544271,16.03255021114144,3.162281225698731,mostly from a business,mostly from a paycheck,152384.0,5,5,0,0.0
15,9.90145312109082,9.855701895811562,-0.04575122527925757,mostly from a pension,mostly from a paycheck,69946.0,5,5,0,0.0
16,6.728730719377446,3.4480520025239434,-3.2806787168535028,mostly from a paycheck,mostly from investments,37000.0,5,6,0,0.0
19,3.8199889575106383,2.508060199813302,-1.3119287576973364,mostly from a paycheck,mostly from investments,131004.0,1,1,4,0.4351164849928246
20,3.132771083752499,3.7189586511995305,0.5861875674470314,mostly from a pension,mostly from a paycheck,50532.0,1,1,0,0.011873664212776
21,5.661192554394205,4.026946038308464,-1.6342465160857413,mostly from a paycheck,mostly from investments,65000.0,1,1,0,0.2307692307692307
22,12.514975217397929,12.010318132416808,-0.5046570849811207,mostly from a pension,mostly from a paycheck,190985.0,1,1,0,0.0985941304290912
23,17.024467118033595,11.193478017468426,-5.830989100565169,mostly from a paycheck,mostly from investments,160507.0,5,2,0,0.0
24,9.161322646492643,5.129006219049674,-4.032316427442969,mostly from a paycheck,mostly from investments,60425.0,5,4,0,0.0
25,16.863735116059722,12.219724879613064,-4.644010236446658,mostly from a paycheck,mostly from investments,159595.0,5,3,0,0.0
27,5.948939731224563,4.726235563213833,-1.22270416801073,mostly from a paycheck,mostly from investments,126174.0,1,1,2,0.3229666967838064
28,12.026876162859784,6.435711314383668,-5.591164848476116,mostly from a paycheck,mostly from investments,80100.0,5,6,0,0.0
29,4.417318298539829,0.7545682163405226,-3.6627500821993064,mostly from a paycheck,mostly from investments,65296.0,4,6,1,0.0
30,8.163527389684594,4.990782759105758,-3.172744630578836,mostly from a paycheck,mostly from investments,49000.0,5,6,0,0.0
31,-0.8016791216948416,-2.0257223793035646,-1.224043257608723,mostly from a paycheck,mostly from investments,60000.0,1,1,2,0.4166666666666667
32,13.578852505563384,7.3276382396968405,-6.251214265866544,mostly from a paycheck,mostly from investments,95252.0,5,6,0,0.0
33,-12.63582996988407,-19.892847479889962,-7.257017510005893,mostly from a paycheck,mostly from investments,44780.0,4,6,3,0.0
36,17.322689227123437,12.389432785732629,-4.933256441390808,mostly from a paycheck,mostly from investments,164451.0,5,6,0,0.0
37,16.68526557819447,14.975272082160272,-1.7099934960341994,mostly from a paycheck,mostly from investments,281100.0,1,1,0,0.1104589114194237
39,0.2961560784440212,-1.4187877864041714,-1.7149438648481925,mostly from a paycheck,mostly from investments,66558.0,1,1,3,0.023122689984675
40,-0.0094643703068849,0.44712795215330303,0.45659232246018794,mostly from a paycheck,mostly from investments,2000.0,5,6,0,0.0
41,-44.25072853595694,-22.237968774774036,22.012759761182902,mostly from a paycheck,mostly from investments,9945.0,4,6,1,0.0
42,4.76695326645034,1.674346812803973,-3.092606453646367,mostly from a paycheck,mostly from investments,26000.0,5,4,0,0.0
43,5.331557743635536,3.559969041492788,-1.7715887021427483,mostly from a paycheck,mostly from investments,68400.0,1,1,0,0.0
44,8.577791411531868,5.579081998855778,-2.9987094126760896,mostly from a paycheck,mostly from investments,56001.0,5,6,2,0.0
45,0.0,0.5116990814467505,0.5116990814467505,mostly from a paycheck,mostly from investments,8000.0,5,6,0,0.0
46,6.775749226517609,3.6108555199410346,-3.1648937065765748,mostly from a paycheck,mostly from investments,36025.0,5,6,0,0.0
47,11.346583976442169,10.625629743832238,-0.7209542326099303,mostly from a paycheck,mostly from investments,215499.0,1,1,3,0.1162371983164655
48,7.64810402490826,5.255567592401427,-2.3925364325068337,mostly from a paycheck,mostly from investments,118002.0,1,1,1,0.2372841138285791
49,-3.198557272471932,-4.096179423156846,-0.897622150684914,mostly from a paycheck,mostly from investments,60000.0,4,6,3,0.0
51,-7.59751099930214,0.3141438251558561,7.9116548244579965,mostly from a paycheck,mostly from investments,6000.0,5,6,0,0.0
52,9.641710050646687,4.409599196588739,-5.2321108540579475,mostly from a paycheck,mostly from investments,64289.0,5,6,0,0.0
53,5.436653498584441,3.6519185519899517,-1.7847349465944893,mostly from a paycheck,mostly from investments,99005.0,1,1,2,0.43437200141407
54,5.299038120765332,3.798880661572818,-1.5001574591925144,mostly from a paycheck,mostly from investments,59932.0,1,1,0,0.2542881932857238
55,13.643943302088037,9.209504006998573,-4.434439295089463,mostly from a paycheck,mostly from investments,101300.0,5,4,0,0.0
56,18.940992835531862,14.235173355494686,-4.705819480037176,mostly from a paycheck,mostly from investments,222500.0,5,4,0,0.0
57,-7.5731717556230755,0.7485561763542359,8.32172793197731,mostly from a paycheck,mostly from investments,6551.0,5,6,0,0.0
58,16.488483813477394,11.14247848573714,-5.346005327740254,mostly from a paycheck,mostly from investments,151350.0,5,6,0,0.0
59,3.9963414955296623,3.4577164769656137,-0.5386250185640487,mostly from a paycheck,mostly from investments,51865.0,1,1,0,1.9280825219319387e-05
60,7.939841804191629,5.8901855439214446,-2.0496562602701847,mostly from a paycheck,mostly from investments,98000.0,1,1,0,0.0
61,3.0849228587394815,1.5135951409253543,-1.5713277178141272,mostly from a paycheck,mostly from investments,20100.0,5,6,0,0.0
62,-0.07204637682670717,-5.671636816620167,-5.59959043979346,mostly from savings interest,mostly from a paycheck,9950.0,5,6,0,0.0
63,-22.082105028826003,-18.796156448897428,3.2859485799285757,mostly from a paycheck,mostly from investments,35000.0,4,6,2,0.0
64,6.294745000350728,2.546724416732851,-3.748020583617877,mostly from a paycheck,mostly from investments,33000.0,5,6,0,0.0
65,5.291065374543791,2.4644154877418845,-2.8266498868019068,mostly from a paycheck,mostly from investments,28049.0,5,6,0,0.0
66,-0.9374070715368812,2.8436894615727444,3.7810965331096256,mostly from a paycheck,mostly from investments,40320.0,5,6,0,0.0
67,15.610837256866883,13.737032568351484,-1.8738046885153992,mostly from a paycheck,mostly from investments,329000.0,1,1,2,0.3708206686930091
68,15.828077588685893,10.411474617308562,-5.416602971377332,mostly from a paycheck,mostly from investments,132700.0,5,6,0,0.0
69,9.99716928716652,4.373464073131244,-5.623705214035275,mostly from a paycheck,mostly from investments,66001.0,5,6,0,0.0
70,6.132155798761012,3.6236377849366423,-2.5085180138243697,mostly from a paycheck,mostly from investments,70002.0,1,1,0,0.4571583669038027
71,4.985325862904344,1.3782776217087997,-3.6070482411955442,mostly from a paycheck,mostly from investments,27005.0,5,6,0,0.0
72,9.275337725654394,4.586863334357149,-4.688474391297245,mostly from a paycheck,mostly from investments,62231.0,5,6,0,0.0
73,0.0,4.700577859496506,4.700577859496506,mostly from social security,mostly from a paycheck,30083.0,5,5,0,0.0
74,5.630905505143121,2.344888115886038,-3.286017389257083,mostly from a paycheck,mostly from investments,30000.0,5,6,0,0.0
75,-6.881450578091334,0.12356432335759238,7.005014901448926,mostly from a paycheck,mostly from investments,3962.0,5,6,0,0.0
76,6.443272226337491,3.4884805329554047,-2.9547916933820866,mostly from a paycheck,mostly from investments,81060.0,4,4,1,0.0
80,-35.64002166528761,-28.95676128899244,6.683260376295173,mostly from a paycheck,mostly from investments,30000.0,1,1,3,0.0
81,10.974285496687981,7.003271127034861,-3.971014369653121,mostly from a paycheck,mostly from investments,156902.0,1,1,1,0.159347873194733
82,17.443321740605374,12.881035044033313,-4.562286696572061,mostly from a paycheck,mostly from investments,180000.0,5,6,0,0.0
83,0.549758846905089,1.7867961382246627,1.2370372913195737,mostly from social security,mostly from a paycheck,19200.0,5,4,0,0.0
85,-15.569973060903743,-6.666070998541543,8.9039020623622,mostly from a paycheck,mostly from investments,25240.0,1,1,2,0.0
86,7.28593836914264,3.004857269826516,-4.281081099316124,mostly from a paycheck,mostly from investments,40010.0,5,6,0,0.0
87,9.658908917076342,3.912921851387681,-5.745987065688661,mostly from a paycheck,mostly from investments,63000.0,5,6,0,0.0
89,13.585508730407957,8.441769847525457,-5.1437388828825,mostly from a paycheck,mostly from investments,94150.0,5,6,0,0.0
90,-0.3732077438915629,-0.04470960396764677,0.32849813992391613,mostly from social security,mostly from a paycheck,28685.0,1,1,0,0.1393411190517692
92,-7.64324563201094,0.09366885848127401,7.736914490492214,mostly from a paycheck,mostly from investments,5000.0,5,6,0,0.0
93,6.516877530923936,5.06815549881938,-1.4487220321045555,mostly from a paycheck,mostly from investments,112794.0,1,1,1,0.3546376580314556
95,6.18788560188429,7.365164615055293,1.1772790131710034,mostly from social security,mostly from a paycheck,50104.0,5,5,0,0.0
96,6.440635376030138,3.738500895453812,-2.702134480576326,mostly from a paycheck,mostly from investments,34000.0,5,4,1,0.0
97,5.689913634800362,2.5672684605898044,-3.122645174210558,mostly from a paycheck,mostly from investments,30000.0,5,6,2,0.0
98,17.522188579272925,12.341261473118657,-5.180927106154268,mostly from a paycheck,mostly from investments,170000.0,5,6,0,0.0
99,7.425174308883711,4.526905881933482,-2.898268426950229,mostly from a paycheck,mostly from investments,41500.0,5,2,0,0.0
100,10.876961360354139,5.124944521135556,-5.752016839218583,mostly from a paycheck,mostly from investments,70510.0,5,6,0,0.0
101,-1.6765895170606395,-1.325748093567462,0.3508414234931776,mostly from a paycheck,mostly from investments,54201.0,1,1,1,0.2251065478496706
102,-3.5676564447108423,0.019984812389956984,3.5876412571007994,mostly from a paycheck,mostly from investments,12000.0,5,6,0,0.0
103,-42.24294665831897,-25.592785750759628,16.650160907559343,mostly from a paycheck,mostly from investments,3598.0,4,4,3,0.0
105,6.620545290773189,2.484978513838094,-4.135566776935095,mostly from a paycheck,mostly from investments,35000.0,5,6,0,0.0
106,-41.434589356329795,-14.778294021295332,26.656295335034464,mostly from a paycheck,mostly from investments,7000.0,4,6,4,0.0
107,17.704342651251586,12.743389835450529,-4.960952815801058,mostly from a paycheck,mostly from investments,180201.0,5,4,0,0.0
108,-36.01524435340211,-13.24518825772809,22.770056095674022,mostly from a paycheck,mostly from investments,2000.0,4,6,1,0.0
110,6.407188188703011,9.099756901227702,2.6925687125246904,mostly from a business,mostly from a paycheck,60000.0,5,6,0,0.0
112,3.808523181071025,3.3340164217470774,-0.4745067593239476,mostly from investments,mostly from a paycheck,32804.0,5,5,0,0.0
113,-0.6455574815137525,0.22385610098418454,0.869413582497937,mostly from a paycheck,mostly from investments,2400.0,5,4,0,0.0
114,-9.775471548414831,-18.29960638448643,-8.5241348360716,mostly from a paycheck,mostly from investments,42000.0,4,6,2,0.0
116,6.274291594293863,3.5120901795718815,-2.7622014147219813,mostly from a paycheck,mostly from investments,34000.0,5,6,0,0.0
117,-16.17918654474155,-17.943563982944006,-1.7643774382024553,mostly from a paycheck,mostly from investments,27600.0,4,6,1,0.0
118,-0.03365664014374533,3.1836525032864342,3.2173091434301795,mostly from social security,mostly from a paycheck,51203.0,1,1,0,0.3984727457375544
119,7.19947232300834,5.045009418307115,-2.1544629047012256,mostly from a paycheck,mostly from investments,158304.0,1,1,3,0.0815014149989892
121,-4.285632853383558,-10.161479803980455,-5.875846950596897,mostly from a paycheck,mostly from investments,38000.0,4,4,1,0.0
123,4.7541844775569455,1.7384350909993094,-3.015749386557636,mostly from a paycheck,mostly from investments,26005.0,5,6,0,0.0
125,0.25985954321604954,7.072550841336099,6.81269129812005,mostly from social security,mostly from a paycheck,44423.0,5,4,0,0.0
126,6.12878626964347,2.8390739908658,-3.28971227877767,mostly from savings interest,mostly from a paycheck,44280.0,5,4,1,0.0
127,2.2607489035901316,1.7295352518088687,-0.5312136517812629,mostly from a paycheck,mostly from investments,40004.0,1,1,0,0.0
128,3.096631890936508,1.735505788317376,-1.3611261026191321,mostly from a paycheck,mostly from investments,57201.0,4,4,1,0.0
